,question,classification
6424,Kapan pemain New Orleans Pelicans tampil pada cover NBA 2K16 pertama kali disusun?,C
6425,"Tim sepak bola All-Pac 12 2014 menampilkan pemain sepak bola dari tim yang dipimpin oleh pelatih kepala tahun kedua, yang memimpin timnya ke judul konferensi?",C
6426,Apa pemain bisbol Kuba Amerika ditangguhkan dalam kebijakan steroid baru musim Liga Utama Baseball 2005?,C
6427,Perusahaan perangkat lunak Jerman yang telah mendirikan Remote Fungsi Call (RFC) memiliki kantor pusat di kota mana?,C
6428,"Film dokumenter apa saja yang memiliki lebih banyak pencipta, The Devil came on Horseback or My Best Fiend?",C
6429,"Pada tahun mana aktris Rusia ini yang memproduksi dan melakukan dalam film drama bisu Amerika tahun 1922 ""Sebuah Rumah Boneka"" berimigrasi ke Amerika Serikat?",C
6430,Apakah The Moon-Spinners dan Oceans keduanya dokumenter?,C
6431,CNN-News18 Penghargaan India Tahun ini dibuat oleh Sagarika Ghose dan berita yang lahir pada tahun berapa?,C
6432,Distrik mana yang mencakup pulau di Sungai Timur New York City yang Pete Grannis wakilnya di Kebaktian Negara Bagian New York?,C
6433,Di mana tangki pemikiran yang didirikan oleh analis politik neokonservatif yang lahir pada tahun 1952?,C
6434,"Film dokumenter mana yang pertama kali dibuat, The Shame of a City or Unchained Memories?",C
6435,"Kapan pensiunan pelari Jamaika yang Richard Thompson, 0,99 detik lebih lambat daripada lahir?",C
6436,Siapa aktris dari The Secret of NIMH bermain di Patch of Blue?,C
6437,"Selain perannya di The Fattest Man di Inggris, Bobby Ball paling dikenal karena perannya sebagai Cannon dan Ball dengan komedian lain?",C
6438,"Akademik Lomonosov dinamai menurut nama polimath Rusia, ilmuwan, dan penulis, yang menemukan atmosfer planet apa?",C
6439,Berapa banyak anggota dalam kelompok anak laki-laki Korea Selatan yang pertama sub-unit resmi adalah Bastarz?,C
6440,Stye seni bela diri apa yang dilakukan Royler Gracie tutor Maurcio Villardo?,C
6441,Yang menyutradarai drama bertahan hidup Amerika tahun 2014 dimana Laura Elizabeth Dern dinominasikan untuk Academy Award for Best Supporting Actress di,C
6442,Apa bagian dari judul alternatif untuk 3 6 lagu Mafia dan adalah slang untuk ramuan yang termasuk resep-kekuatan obat obat batuk sirup juga dikenal sebagai minuman ungu?,C
6443,Apa film pertama yang dicetak oleh pria yang menyusun soundtrack Udhayam NH4?,C
6444,Berapa kali tim yang memenangkan 11 DFB-Pokal memenangkan kejuaraan nasional ?,C
6445,Apa 2003 Natal bertema komedi romantis Gregor Fisher memiliki peran dalam?,C
6446,"Arrêtez-moi adalah sebuah film di mana genre film, dikenal untuk ketegangan dan kecemasan?",C
6447,Alex da Kid bekerja di sebuah trek dengan Eminem dirilis pada tahun berapa?,C
6448,Berapa banyak buku dalam teks yang disusun oleh pendiri sekolah Nicaya filsafat Hindu dan digunakan dalam pengembangan logika India?,C
6449,"Beer Wars mencakup perbedaan antara pembuatan bir perusahaan besar, dan pembuatan bir kecil, seperti tempat pembuatan bir yang bermarkas di Escondido, california?",C
6450,Apakah Lush dan P.O.D. keduanya terdiri dari empat anggota band?,C
6451,"Siapa yang telah bekerja untuk perusahaan film lebih, Kelly Reichardt atau Jacques Tourneur?",C
6452,"""Panggil aku Mañana"" adalah lagu oleh kelompok yang telah menjual berapa banyak catatan?",C
6453,"film ""A Cure for Wellness"" adalah fiksi ilmiah?",C
6454,Siapa produsen pesawat yang menembak jatuh Jameel Sayhood?,C
6455,"Direktur mana yang memenangkan Academy Award untuk sutradara terbaik untuk karyanya pada film, ""Midnight Cowboy?""",C
6456,Yang tim sepak bola perguruan tinggi untuk University of Oregon tidak Enoka Lucas bermain untuk,C
6457,Posisi apa yang dimiliki Seri Emas Poker Dunia 2004 di Liga Epic Poker tahun 2011?,C
6458,Tahun berapa penulis skenario daftar hitam berbagi Academy Award dengan Michael Kanin?,C
6459,"Band mana yang punya lebih banyak anggota, Chvrches atau selamat tinggal Mr. Mackenzie?",C
6460,"Universitas WHich terletak di Amerika Serikat, Universitas Grand Valley State atau Universitas Carleton?",C
6461,"Kapan tembikar paling awal dikenal diciptakan di negara yang merupakan tanah asli Laksamana Yi Sun-sin, yang melakukan Pertempuran Happo?",C
6462,"Tahun berapa pria itu, yang digolongkan untuk mengembangkan Crescograph, lahir?",C
6463,Löwenbräu dan Bürgerbräukeller keduanya terletak di mana?,C
6464,Tritonia dan Phyteuma keduanya adalah nama untuk apa tanaman?,C
6465,Di mana rumah Vanderbilt yang Ochre Point PointCliffs Distrik Historic terletak di rumahnya,C
6466,Di mana kepala seperempat dari Blue Bird Body Company?,C
6467,Komposer musik Manru adalah juru bicara untuk negara apa yang merdeka?,C
6468,"Mana yang lebih besar, Griffon Bruxellois atau Mastiff Inggris?",C
6469,"Apa anak perusahaan rekaman yang merilis ""Love Incredible?""",C
6470,"Yang mana serial TV thriller mata-mata Amerika, yang dikembangkan oleh Howard Gordon dan Alex Gansa, memiliki episode musim keempat berjudul ""Krieg Nicht Lieb?""",C
6471,Robert Earl Holding memiliki sebuah perusahaan minyak yang awalnya didirikan oleh siapa?,C
6472,"Band apa yang dibentuk tahun 1995 dan keluar dengan album berjudul ""Selamat Datang Manajer Interstate '?",C
6473,"Rumah sakit mana yang pertama dibuka, Rumah Sakit St. Elizabeths atau Rumah Sakit Providence?",C
6474,Apa kapasitas stadion yang Coleción Privada yang difilmkan pada tanggal 10 Oktober 2000?,C
6475,Gambar 2 Ranch Airport mendukung operasi peluncuran dari apa perusahaan aerospace dan layanan penerbangan ruang angkasa?,C
6476,Matthew Wright dipilih dengan pilihan #33 dalam draft AFL yang terjadi selama tanggal berapa tahun 2009?,C
6477,Garth Richardson adalah anak dari produser yang bekerja untuk kelompok mana yang berevolusi dari The Iveys?,C
6478,Siapa direktur di balik pertunjukan Cirque du Soleil di Las Vegas yang pertama kali dilakukan pada 25 Desember 1993?,C
6479,Apa nama asli tempat di mana Baterai Artileri Light Minnesota ke-1 dikumpulkan?,C
6480,"Sistem mana yang menggunakan RedBoot adalah double-deck, tubuh lebar, pesawat jet empat-mesin diproduksi oleh pabrik Eropa Airbus?",C
6481,Siapa yang menceritakan seri televisi dokumenter yang menyajikan maskapai penerbangan terbesar di Inggris yang berukuran armada?,C
6482,Kelompok partisipan mana yang membawa Operasi Neptunus Tombak yang kadang - kadang disebut dalam media AS sebagai Unit Misi Khusus?,C
6483,"Penyanyi mana yang ada di duo Sugarland, Jennifer Nettles atau Roger Taylor?",C
6484,Industri apa yang dikerjakan Edgar Selwyn dan Chantal Akerman?,C
6485,"Ralf Popken memiliki peran dalam musik yang adalah satire korupsi dalam administrasi keadilan kriminal, membawa konsep apa untuk cahaya?",C
6486,Peter Jackson adalah Profesor Emeritus Sejarah Abad Pertengahan di sebuah universitas riset umum yang didirikan pada tahun 1949 sebagai apa?,C
6487,"Bersama Thomas Alan, tiga album pertama penyanyi mana yang direkam di The Boarding House?",C
6488,"Nuestra Belleza México 2010 dinobatkan oleh pemenang kontes tahun 2010 lainnya, pemenang yang dinobatkan pada 23 Agustus 2010?",C
6489,"Beyond the Hoax: Science, Philosophy, and Culture, is by what professor of mathmath in University College London?",C
6490,"Jay-Z merilis album ""500 Greatest"" Rolling Stone tahun 1996-nya di label rekaman mana?",C
6491,Kelompok teroris mana yang menyebabkan pertempuran di mana Mark E. Michell memenangkan penghargaan atas tindakannya?,C
6492,"Pelatih Karachi Kings, Mickey Arthur, apanya yang layak?",C
6493,"Aktris mana, yang debutnya di Friday Night Lights juga dibintangi di The River Mengapa?",C
6494,Jenis bangunan apa yang sama antara Jim Bartels dan Istana Lolani?,C
6495,Jenis musik apa yang dibuat seniman Firework sebelum menjadi pop?,C
6496,Stasiun radio macam apa yang memainkan lagu oleh kelompok yang merilis album Holiday Harmony?,C
6497,"Pemain baseball profesional mana yang bermain untuk Brooklyn Robbins pada tahun 1928 dan 1929, yang kuliah di Denton, Texas?",C
6498,Dalam agama Mesir Kuno bagaimana seorang warga akan ditimbang untuk memutuskan jika mereka mana layak dikutuk dan akan menghadapi siksaan di danau api?,C
6499,"Berapa tahun penerbitan majalah film berbasis Amerika dan New York yang diterbitkan oleh Hachette Filipacchi Media AS, di mana April Bernard bekerja sebagai editor senior?",C
6500,Apa area kotor dari pusat perbelanjaan yang dilayani oleh bis Merrick Boulevard?,C
6501,"Minuman mana yang disulut sebelum dikonsumsi, minuman api atau Blue Hawaii",C
6502,"Apa nama lahir Aktor Charles Dennis Buchinsky, adalah bagian dari Leslie Nielsen komedi?",C
6503,"Apa bentuk lahan utama meminjamkan namanya untuk Blue Ridge Music Center, dan Amerika terpanjang linear taman?",C
6504,Novel Lucy Maud Montgomery tentang karakter Anne Shirley pertama kali diterjemahkan ke bahasa Jepang oleh wanita mana?,C
6505,"Apa ini fiksi ilmiah dan teknologi maju ras militer asing, dari mana turunnya Sequoia, disebut?",C
6506,AnnoZero memiliki kolaborator yang merupakan anggota dari rumah bangsawan kuno yang mana?,C
6507,"Apa blok pemrograman Jumat malam termasuk seri kolektif apa yang termasuk ""Whatever Happened to... Robot Jones?""",C
6508,Joki utama Binocular adalah Champion Jockey berapa kali berturut-turut?,C
6509,SMS Emden memasang simbol di kepala batangnya dari Kerajaan apa?,C
6510,"Pada tahun berapa penulis drama yang menulis ""The City Heiress"" mati?",C
6511,Kamis Malam Showcase disponsori oleh perusahaan yang berkantor pusat di kota mana?,C
6512,Dua pekerjaan apa yang dimiliki Scott Weiland dan Richard Hawley?,C
6513,"Majalah mana yang berbasis di negeri - negeri lain, Adventis World atau Baseball Digest?",C
6514,"Detektif swasta fiksi yang muncul dalam ""Petualangan Tujuh Jam"" apa yang ditulis oleh siapa?",C
6515,Yang mana Ketua Republik lahir 1 Juni 1956?,C
6516,Siapa yang memenangkan pemilihan khusus tahun 2014 untuk menggantikan Bill Young?,C
6517,Siapa yang menyediakan sumber bahan untuk film komedi-drama Australia 2015 di mana Rebecca Gibney menampilkan?,C
6518,Musim NBA 199192 termasuk cedera tendon Achilles ke NBA All-Star sembilan kali?,C
6519,"Bandara mana yang digunakan untuk umum maupun militer, Shenandoah Valley Regional Airport atau Bandara Internasional Louisville?",C
6520,Tom Araya dan Marcus Mumford keduanya apa?,C
6521,"Grammy pemenang untuk lagu tahun ini, juga mengeluarkan album 1971 oleh Carpenters, tapi lagu apa yang dia menangkan Academy Award untuk Lagu asli terbaik?",C
6522,New Hampshire Northcoast Corporation menukar mobil dengan perusahaan kereta api regional Kelas II?,C
6523,Ayah Manning Marius Kimmel pensiun dari Angkatan Laut tahun berapa?,C
6524,Siapa Charles R. Black Jr. atau Paul Manafort?,C
6525,Universitas mana yang menjadi pemenang Penghargaan Pemain Pertahanan Paling Luar Biasa CFL 2014?,C
6526,"Apa satu dirilis oleh penyanyi negara Amerika, penulis lagu dan multi-instrumentalis di MCA Nashville pada tahun 2000?",C
6527,Apa posisi di Angkatan Darat Amerika Serikat Letnan Jenderal bahwa Konfederasi Jenderal Robert E. Lee menyerah?,C
6528,Siapa adik perempuan Putri Zein dan putri seorang wanita Inggris?,C
6529,Apa Minnesota county adalah University of Minnesota di?,C
6530,Berapa banyak personil Angkatan Laut yang memiliki transportasi kelas Gilliam telah aktif bertugas?,C
6531,Apakah Northeast Florida Regional Airport lebih jauh dari St Augustine dari Glacier Park International Airport ke Kalispell?,C
6532,Stig Lennart Blomqvist mengendarai mobil yang diproduksi oleh produsen mobil Jerman?,C
6533,Apa Divisi Elektoral di Victoria berisi pinggiran kota Melbourne dengan populasi 25.147 pada Sensus 2016?,C
6534,Kapan mobil yang digambarkan di sampul Pentastar: In the Style of Demons menghentikan produksi?,C
6535,Kapan adik Farshid Karimi lahir?,C
6536,Bisakah kau membaca Bicycling dan National Review,C
6537,"Honeymoon Academy membintangi Robert haves, penghargaan apa yang dimenangkan rekan bintangnya?",C
6538,"Pelawak yang membintangi ""Gone Are the Dayes"" membuat terobosan besar di mana acara?",C
6539,Bintang mana dari Affair Keluarga yang lahir pada bulan September 1948?,C
6540,Sony/Philips Digital Interface Format dapat mengirimkan lebih dari apa Toshiba serat optik sistem konektor?,C
6541,Perusahaan teknik Inggris mana yang paling dikenal karena mobil mewahnya pada era sejarah Inggris yang mencakup pemerintahan singkat Raja Edward VII?,C
6542,Sadok Sassi bermain untuk tim nasional yang membuat Piala Dunia pertama di tahun berapa?,C
6543,Gunung Gunnison dinamai untuk menghormati seorang penjelajah yang lahir pada tahun berapa?,C
6544,Stephen Smith muncul di ESPN Pertama Ambil bersama komentator tinju HBO yang mana?,C
6545,Induktivitas adalah metode ilmiah yang dimiliki seorang pria yang melayani dalam dua kapasitas apa?,C
6546,Raúl Arellano bermain untuk Meksiko di turnamen sepak bola mana pada tahun 1954?,C
6547,Aleksandras pengganti Stulginskis ' diadakan kantor antara tanggal apa?,C
6548,Siapa yang lahir pertama Garo Yepremian atau Michael Casey ?,C
6549,The Northern Circuit berasal dari tahun ketika Raja Inggris menikah dengan siapa mengirim keadilan di sirkuit?,C
6550,"Apa terjemahan Inggris dari tingkat empat liga bahwa TSV Schilksee dipromosikan ke tahun 2014, setelah liga kejuaraan di Schleswig-Holstein-Liga?",C
6551,"Bagaimana Ada Lovelace, programmer komputer pertama, terkait dengan Lord Byron di Childe Byron?",C
6552,Rumah Sakit Midland Regional yang dikelola oleh kabinet apa yang menjalankan otoritas eksekutif di Republik Irlandia?,C
6553,Apakah Catasetum dan Origanum dalam keluarga yang sama?,C
6554,Dengan siapa rekan yang terkenal dari Elena Krykanova juara Olimpiade dua kali dengan ?,C
6555,"Yang mana Austria dan kemudian ahli catur Amerika yang juga sangat berpengaruh penulis dan teoretisi catur bersaing untuk kontes pertama yang didefinisikan ""di muka"" sebagai menjadi untuk kejuaraan dunia?",C
6556,Musik Grigori 3 biasanya dibandingkan dengan band rock Amerika yang didirikan pada tahun berapa?,C
6557,Dari dua publikasi ini - Báiki dan Sick - apa jenis publikasi adalah salah satu yang paling sering diterbitkan?,C
6558,Acara apa yang diadakan oleh acara The Teen Choice Awards 2011 saat ini?,C
6559,"Kung Fu Magoo adalah film komedi animasi Meksiko-Amerika dengan bintang musik Inggris yang paling dikenal karena roll-nya sebagai apa dalam ""Naruto""?",C
6560,A. N. Prabhu Deva adalah mantan wakil kanselir dari universitas yang terletak di negara bagian apa?,C
6561,"Band mana yang mengelola pengusaha Amerika ini, penerbit musik, perwakilan penulis, pembuat film, dan eksekutif label rekaman sambil mengelola grup album ini secara simultan ""Are Hot Rocks?""",C
6562,Bill McCollum mengambil peran kepemimpinan dalam sidang Senat yang dimulai pada tanggal berapa?,C
6563,Taman Rawlins adalah taman kecil umum di lingkungan yang mendapat namanya karena apa ?,C
6564,"Klub sepakbola mana yang muncul di Piala Perisai Komunitas 2015, dan juga, kejuaraan Liga Premier 2014 15?",C
6565,Apa nama peran yang Cleo Demetriou mainkan dalam seri Jadi Canggung?,C
6566,Orang Amerika yang Live Acoustic menampilkan sampul lagu Beatles yang mencapai angka berapa di Inggris?,C
6567,Nikhil Nanda adalah anak dari penasihat asuransi dalam bisnis apa?,C
6568,▪Helweared adalah seorang penulis versi Latin yang mana koleksi catatan sejarah Inggris Lama?,C
6569,Bahasa Hussein Ali Mahfouz dipelajari oleh berapa banyak orang?,C
6570,Hari Co-Dependents 'adalah episode dari musim acara tv yang dimulai kapan?,C
6571,Yang anggota grup musik Guy dipelopori genre fusi Jack baru Swing dengan Bernard Belle pada tahun 1980-an?,C
6572,Apa toko jangkar untuk pusat perbelanjaan dibangun oleh C.J. Segerstrom & Anak-anak di California?,C
6573,Clavivox diciptakan oleh komposer Amerika yang lahir Harry Warnow pada tahun berapa?,C
6574,Kapal induk ini berfungsi sebagai kapal pemulihan untuk penerbangan ini yang mengelilingi bumi berapa kali?,C
6575,"Siapa nama pengusaha Amerika dan penulis dari Michigan ini, Gubernur Jennifer Granholm terpilih di pemilihan gubernatorial Michigan 2005?",C
6576,Apa aktris Amerika bintang di Tainted?,C
6577,Apa album studio ketiga yang dirilis oleh Richard Melville Hall?,C
6578,Oera Linda Book adalah manuskrip yang ditulis dalam bahasa yang digunakan antara abad berapa?,C
6579,"Jenis anjing mana yang pertama kali diakui oleh klub kandang resmi negara mereka, American Hairless Terrier atau Saint-Usuge Spaniel?",C
6580,"Dimana kota dan ""Komune"" di Emilia-Romagna di mana pelukisTalian Renaissance;Ludovico Mazzolino terletak",C
6581,"Tanaman apa, Chaerophyllum atau Crypthus, dapat ditemukan di berbagai tempat di seluruh dunia?",C
6582,Di mana kantor administrasi utama lembaga yang terletak di mana K.S. Babu mendapatkan gelar PhD-nya pada tahun 1986?,C
6583,"Tahun berapa direktur ""Madadayo"" meninggal?",C
6584,"Kapan penulis ""Albert Speer: perangnya dengan kebenaran"" dihukum?",C
6585,"Penulis mana yang menemukan inspirasi dalam karir mereka sebelum menulis, Hart Crane atau John Le Carré?",C
6586,Wolf dan Sheep disaring di festival film 2016?,C
6587,Siapa yang tak terkalahkan sejak pertandingan Athena dengan 28 medali?,C
6588,Dianne Hiles adalah kandidat Australia Greens saat ini untuk yang 1968 federal proklamasi?,C
6589,Tahun berapa seorang penyanyi opera soprano Rusia yang lahir pada bulan Oktober 1926 meninggalkan Rusia bersama suami dan putrinya yang bersel?,C
6590,Tahun 2013 14 musim Phoenix Suns membawa kembali pemain yang sekarang bermain untuk tim apa?,C
6591,"Vices and Virtues, secara kebetulan dirilis hanya empat hari setelah ""Vices & Virtues"" oleh Las Vegas band Panic! di Disko, adalah album studio kedua yang mana band rock Kanada?",C
6592,Siapa yang menyuarakan karakter Homer Simpson pada serial televisi animasi?,C
6593,Fort Snelling memacu pertumbuhan Saint Paul terletak di daerah ini?,C
6594,"Seniman Amerika mana, yang juga mengilustrasikan karya Bill Nye dan George W. Peck, yang mengilustrasikan sebuah novel karya Mark Twain tahun 1876 tentang seorang anak laki - laki yang dibesarkan di sepanjang Sungai Mississippi?",C
6595,Apakah Grapico dan Izze buatan rasa minuman ringan?,C
6596,Bo Diddley dan The Yardbird memainkan genre musik umum yang mana selama karir mereka?,C
6597,Daerah administratif paling selatan di Denmark dikenal karena menciptakan produk apa?,C
6598,Jim Betts melawan Amerika pertama untuk mengorbit apa?,C
6599,Luther: Calling didasarkan pada drama kejahatan BBC yang mencakup enam episode yang dijalankan pada tahun berapa?,C
6600,"Tempat apa yang sama dengan Jalan Regency, Adelaide dan Klemzig, Australia Selatan?",C
6601,Reggaetón Lento adalah lagu yang dibuat oleh boy band pada tanggal berapa?,C
6602,Tim apa yang dilatih oleh mantan pelatih kepala perguruan tinggi Connie Yori?,C
6603,Benteng abad pertengahan mana yang diyakini merujuk ke kapel di dasar bukit?,C
6604,Siapa ayah biologis kaisar yang membangun Nemi Ships?,C
6605,The Last Run adalah film drama bahwa bintang-bintang yang Lithuania-Amerika aktor?,C
6606,Apa manajer untuk 1891 Cincinnati Kelly's Killers juga dikenal sebagai?,C
6607,Rambut panjang Inggris didefinisikan oleh apa registris?,C
6608,"Episode SpongeBob SquarePants pertama kali ditayangkan, The Clash of Triton atau To SquarePants atau Not to SquarePants?""",C
6609,Tim Indigenous pelatih Century memainkan lebih dari berapa banyak game di tingkat senior?,C
6610,"Tim apa yang bertanding dalam enam kompetisi pada musim ke-116 mereka, dan empat pada mereka 117?",C
6611,Apakah 4 World Trade Center atau Kondominium Trump Palace lebih tinggi?,C
6612,Apakah Hou Hsiao-hsien atau Kenny Ortega pemenang Academy Award?,C
6613,"Negara mana di Florida yang terkait dengan transportasi di Jacksonville, Florida?",C
6614,"Bisnis seperti Eatza Pizza atau Pizza Fusion, yang memiliki lebih dari 10 lokasi yang dianggap sebagai apa?",C
6615,Musim apa Gilmore Girls menampilkan seorang aktris sebagai pengiring pengantin yang juga memainkan peran Winnie Foster?,C
6616,"Kapan ayah pemain hoki es profesional dengan nama tengah ""Fosgaard"" lahir?",C
6617,"Sebuah drama yang pertama kali dilakukan pada 16 Februari 1728, di Theatre Royal, ditulis oleh novelis Inggris yang juga penulis novel apa?",C
6618,Siapa yang menggantikan manajer Villa Aston yang dimulai di Leeds United?,C
6619,Arnold Richards adalah mantan ketua organisasi apa yang merupakan anggota Center of Jewish History?,C
6620,"Jika Selfridge di London adalah toko terbesar kedua di Inggris, toko mana - yang sekarang dimiliki oleh Negara Bagian Qatar - adalah yang terbesar?",C
6621,Jamal Igle dikenal untuk pekerjaan illustratif di mana DC Comics publikasi?,C
6622,"Bulldog mana termasuk keturunan dari Standard dan ""Classic,"" Bulldog Prancis atau Bulldog Amerika?",C
6623,"Yang pertama diterbitkan, Take It Easy atau Personal Preferensi?",C
6624,Kapan kompetisi Australia NSWRL dibentuk di mana H Kaufman adalah pemain liga rugby?,C
6625,tahun berapa seniman sampul Multiverse: Exploring Poul Anderson's Worlds lahir?,C
6626,"Jenis anjing mana yang dikembangkan di Jerman, The Large Münsterländer atau Bracco Italiano?",C
6627,"Orange adalah New Black, dibintangi Annie Golden sebagai Norma Romano, berlangsung di penjara federal minimum keamanan?",C
6628,Di bagian mana dari U.S Route 56 dapat Anda mendengarkan KCTV?,C
6629,Reinhold O. Schmidt adalah kontak UFO di era yang sama dengan warga negara Polandia-Amerika?,C
6630,Apa yang menghiasi artefak arkeologi yang digali oleh Thomas Bateman pada tanggal 3 Mei 1848?,C
6631,Di daerah mana Duffy Jackson lahir?,C
6632,Carrie Coon memainkan Margo Dunne dalam film tahun 2014 di negara bagian apa?,C
6633,Perusahaan apa yang memproduksi The Little Mermaid dan The Strongest Man in the World?,C
6634,"Siapa yang memainkan Dominic Toretto dalam delapan film, mulai tahun 2001, dari waralaba film terbesar Universal yang pernah ada?",C
6635,Alhambra dan Tsuro adalah kedua contoh dari jenis permainan apa?,C
6636,Apa definisi Downers Grove sebagai pemikat?,C
6637,"Zat apa yang selalu ada dalam perangkap untuk mencegah apa pun dari kedua arah, bahkan gas saluran pembuangan?",C
6638,"Penghargaan Jiwa Independen mana yang menjadi aktris dalam film yang disutradarai oleh Neil LaBute, untuk nominasi?",C
6639,Apakah Mirpur University of Science and Technology dan University of Debrecen keduanya terletak di luar Amerika Serikat?,C
6640,"Pemain tenis mana yang lebih tua, Emilio Sánchez atau Andrei Olhovskiy?",C
6641,Lucy Pevensie adalah karakter dalam seri novel fantasi yang telah menjual lebih dari berapa banyak salinan?,C
6642,Siapa juara terakhir dari Thailand Masters yang berasal dari Hong Kong?,C
6643,James Davidson melaporkan pembunuh berantai terkenal di Amerika?,C
6644,Presiden ke-45 Amerika Serikat melakukan apa pada Grand Hyatt New York?,C
6645,Bangalore Naatkal membintangi aktor dan fotografer yang mana?,C
6646,Havanese dan Black Mouth Cur keduanya jenis binatang yang mana?,C
6647,Pada tahun berapa film pertama di Tornoto International Film Fesitval diproduksi oleh BBC Films?,C
6648,Yang mana dari pitcher awal untuk Tim USA di Baseball di Olimpiade Musim Panas 2000 tidak lahir 29 Agustus 1977?,C
6649,"Majalah mana yang memiliki lebih banyak nama sebelumnya, Artis Watercolor atau The General?",C
6650,Siapa yang menyutradarai film drama Korea Selatan tahun 2015 yang dibintangi Hwang Jung-min?,C
6651,Jenis bahasa yang digunakan di Cadore adalah keluarga yang mana?,C
6652,Renzo Gracie memiliki kemenangan atas juara UFC yang merupakan salah satu perintis organisasi olahraga apa?,C
6653,Untuk apa Danja menghasilkan lagu-lagu di Carolina Utara?,C
6654,"Gen Sculatti menulis untuk CREEM kadang-kadang pada tahun 60-an atau 70-an, istilah terkenal apa yang koin CREEM untuk menggambarkan genre batu?",C
6655,"Apa Tim NFL, tak terkalahkan pada tahun 1972, memiliki pada staf mereka pelatih dari tim sepak bola Atlantic Owls Florida 2004?",C
6656,Kedua 2010 11 kali juara Liga UEFA fase KO dan Final Champion League UEFA digelar di stadion London?,C
6657,Kepada siapa ibu raja itu Walchelin de Ferriers adalah kapten utama?,C
6658,Apakah The Devils of Loudun dan Mastarade keduanya opera?,C
6659,"Yang ""The Chronicles of Narnia"" karakter menonjol ditampilkan dalam ""The Lion, The Witch and the Wardrobe"" dan adalah teman dekat dengan Lucy Pevensie yang ia temui di Lantern Waste.",C
6660,SMA W. Tresper Clarke di daerah mana?,C
6661,Pemilihan apa yang akan terjadi pada hari yang sama dengan pemilihan Senat Amerika Serikat di Texas?,C
6662,"Saya Dapat Melihat Suara Anda, reality show dari Korea Selatan, menawarkan jenis pemain kesempatan untuk membuat impian mereka menjadi bintang sebuah kenyataan?",C
6663,Wilayah Miller dinamakan menurut nama gubernur yang lahir pada tahun berapa?,C
6664,Whistle dan Yodel keduanya mengkhususkan diri dalam layanan apa?,C
6665,Tahun berapa 50 Shades of Grey dibebaskan?,C
6666,Salah satu aktor dalam film Dhruva Natchathiram dianugerahi seorang Doctorate Honorary oleh People's University of Milan pada tahun berapa?,C
6667,Apakah Robert Holdstock dan H.L. Mencken keduanya dikenal sebagai satir?,C
6668,Veljko ○ubrilovič terlibat dalam pembunuhan yang pewaris tahta Austro-Hungaria?,C
6669,Aktris mana yang melakukan proyek Netflix ini oleh Nick Bernardone dan Tina Fey bintang dalam peran judul?,C
6670,Ann Killion sama-sama menulis memoir dengan kiper sepak bola Amerika yang memenangkan berapa banyak emas Olimpiade?,C
6671,Di wilayah mana Giorgio Pini lahir?,C
6672,"Apa nama rocker, yang dianugerahi ""Rock Dewi of the Year"" dalam Penghargaan Musik Tahunan Loudwide, yang bernyanyi dengan teriakan bernada tinggi dalam album band nya?",C
6673,"Siapa yang memiliki dedikasi pada skor satu-act opera buffa, Mavra, dan musik yang membuat kesan internasional abadi sebagai komposer Rusia?",C
6674,Apa pekerjaan orang yang memainkan peran utama dalam mengembangkan senjata peluncur roket anti-tank yang tak berguna?,C
6675,Stokely Webster memiliki lukisan dapat ditemukan di kediaman resmi siapa?,C
6676,"Siapa yang memenangkan lebih banyak penghargaan akademi, Joseph L. Mankiewicz atau Tony Kaye?",C
6677,Negara apa yang mewakili anggota Majelis Legislatif Gujarat dan parlemen?,C
6678,"Band mana yang punya anggota lebih, Semisonik atau Kue?",C
6679,Siapa yang menulis buku tentang keluarga Koch yang mengontrol perusahaan swasta terbesar kedua di Amerika Serikat?,C
6680,"Adik siapa Margarita ""Peggy"" Schuyler Van Rensselaer yang kadang-kadang disebut Betsey?",C
6681,Siapa mungkin kakek dari pihak ibu Edmund II?,C
6682,Apakah Chad Gray dan Dickie Peterson keduanya penyanyi?,C
6683,Siapa yang merancang teater tempat bermain Orchestra Philharmonic London?,C
6684,"Apa gitaris bermain dengan baik Device dan kelompok rock industri Amerika yang album debutnya bernama ""Short Bus""?",C
6685,"Thomas Tull memproduksi film komedi The Hangover, yang berbasis di kota mana?",C
6686,Apa peranan Ben Keaton dalam film Inggris Timur ditulis oleh Ayub Khan-Din?,C
6687,"Pada tahun 1632, di manakah salah satu arsitek Inggris yang paling dihormati lahir?",C
6688,Fakta alternatif adalah frasa yang digunakan oleh Penasihat AS ini untuk Presiden yang lahir pada tahun berapa?,C
6689,Berapa populasi kota Munsonville yang ada di sudut barat laut?,C
6690,Kerabat emu adalah penduduk asli benua mana?,C
6691,Apakah tambang Barton dan Hermiston-McCauley terletak di Amerika Serikat?,C
6692,"Wilayah mana yang lebih luas, Liuzhou atau Muling?",C
6693,Cek Kosong dan Air Bud adalah contoh dari film apa?,C
6694,Apa nama mantan MGM Grand Garden Special Events Center di mana pertarungan Mayweather-Ortiz berlangsung?,C
6695,Siapa yang membunuh Presiden 20 Amerika Serikat?,C
6696,Jared Has Aides adalah juru bicara untuk perusahaan mana?,C
6697,"Album debutnya keluar tahun 1988 tapi tahun berapa lagu ""She's My Baby"" keluar?",C
